student_id,student_name,dob,emis_id,school_info,class,parent_mobile,password,verification_status
STD001,Loganadhan,17-02-2020,2026446275,1 - GHSS - Madurai East,12-A,9671705848,Loga@2020,Pending
STD002,Gokul,16-07-2016,2026911355,4 - GHSS - Trichy Central,4-A,9854351101,Goku@2016,Rejected
STD003,Mani,19-09-2011,2026320878,1 - GHSS - Madurai East,10-B,9792922809,Mani@2011,Verified
STD004,Bharani,17-05-2009,2026691056,1 - GHSS - Madurai East,9-A,9605421879,Bhar@2009,Verified
STD005,Lathika,21-09-2011,2026108433,3 - GHSS - Salem North,8-A,9751905364,Lath@2011,Verified
STD006,Anbarasu,26-04-2011,2026838297,1 - GHSS - Madurai East,3-B,9689658317,Anba@2011,Verified
STD007,Uday Pandian,28-07-2016,2026643354,3 - GHSS - Salem North,3-A,9665799999,Uday@2016,Verified
STD008,Kaviya,2/4/2020,2026489412,1 - GHSS - Madurai East,10-B,9914197684,Kavi@2020,Verified
STD009,Tamil Selvan,9/2/2011,2026476278,2 - GHSS - Coimbatore Town,5-B,9872100947,Tami@2011,Pending
STD010,Gokulan,8/1/2009,2026744319,4 - GHSS - Trichy Central,12-A,9786179682,Goku@2009,Verified
STD011,Kaviyapriya,30-01-2017,2026327725,1 - GHSS - Madurai East,11-B,9869289100,Kavi@2017,Pending
STD012,Chitra,6/11/2014,2026480096,3 - GHSS - Salem North,3-B,9907615587,Chit@2014,Verified
STD013,Selvi,18-06-2009,2026621039,1 - GHSS - Madurai East,4-B,9774057010,Selv@2009,Verified
STD014,Kaviyarasu,21-01-2011,2026675286,2 - GHSS - Coimbatore Town,10-B,9905708832,Kavi@2011,Verified
STD015,Jeeva,2/10/2015,2026564362,3 - GHSS - Salem North,5-B,9809239991,Jeev@2015,Verified
STD016,Jeevitha,17-02-2015,2026313458,1 - GHSS - Madurai East,8-A,9787150370,Jeev@2015,Verified
STD017,Udayakumar,10/8/2013,2026970696,1 - GHSS - Madurai East,12-B,9849839800,Uday@2013,Verified
STD018,Iniya,20-03-2016,2026619600,2 - GHSS - Coimbatore Town,2-A,9680145873,Iniy@2016,Verified
STD019,Ezhil Kumar,28-08-2011,2026722787,2 - GHSS - Coimbatore Town,4-B,9806762024,Ezhi@2011,Verified
STD020,Selvam,10/2/2018,2026128986,4 - GHSS - Trichy Central,7-A,9856231570,Selv@2018,Pending
STD021,Kaviya Devi,22-07-2014,2026874870,3 - GHSS - Salem North,3-B,9961807044,Kavi@2014,Verified
STD022,Ravi,4/2/2011,2026447942,2 - GHSS - Coimbatore Town,1-B,9881414660,Ravi@2011,Pending
STD023,Chitradevi,2/9/2012,2026399556,4 - GHSS - Trichy Central,11-B,9901772241,Chit@2012,Verified
STD024,Manikandan,17-08-2010,2026498047,4 - GHSS - Trichy Central,10-A,9868974722,Mani@2010,Verified
STD025,Divyavarshini,7/1/2016,2026645605,3 - GHSS - Salem North,9-B,9696566716,Divy@2016,Verified
